Timeline Trace
Generated on: 2021-04-28 12:06:52
Msec since Epoch: 1619611612897
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
120.12257,clGetPlatformIDs|General,START,,,,,,,,,,,0,
120.24908,clGetPlatformIDs|General,END,,,,,,,,,,,0,
120.27931,clGetPlatformIDs|General,START,,,,,,,,,,,1,
120.30344,clGetPlatformIDs|General,END,,,,,,,,,,,1,
120.33663,clGetPlatformInfo|General,START,,,,,,,,,,,2,
120.36311,clGetPlatformInfo|General,END,,,,,,,,,,,2,
120.39306,clGetPlatformInfo|General,START,,,,,,,,,,,3,
120.41584,clGetPlatformInfo|General,END,,,,,,,,,,,3,
120.51035,clGetDeviceIDs|General,START,,,,,,,,,,,4,
120.54285,clGetDeviceIDs|General,END,,,,,,,,,,,4,
120.56488,clGetDeviceIDs|General,START,,,,,,,,,,,5,
120.5864,clGetDeviceIDs|General,END,,,,,,,,,,,5,
120.61254,clRetainDevice|General,START,,,,,,,,,,,6,
120.63659,clRetainDevice|General,END,,,,,,,,,,,6,
120.65803,clRetainDevice|General,START,,,,,,,,,,,7,
120.67903,clRetainDevice|General,END,,,,,,,,,,,7,
120.70271,clCreateContext|General,START,,,,,,,,,,,8,
132.8842,clCreateContext|General,END,,,,,,,,,,,8,
149.59778,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
261.42476,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
261.53968,clCreateCommandQueue|General,START,,,,,,,,,,,10,
261.59389,clCreateCommandQueue|General,END,,,,,,,,,,,10,
261.6221,clCreateKernel|General,START,,,,,,,,,,,11,
265.50849,clCreateKernel|General,END,,,,,,,,,,,11,
265.54703,clCreateBuffer|General,START,,,,,,,,,,,12,
277.237,clCreateBuffer|General,END,,,,,,,,,,,12,
277.30087,clCreateBuffer|General,START,,,,,,,,,,,13,
277.66411,clCreateBuffer|General,END,,,,,,,,,,,13,
277.6933,clCreateBuffer|General,START,,,,,,,,,,,14,
277.9691,clCreateBuffer|General,END,,,,,,,,,,,14,
277.99473,clCreateBuffer|General,START,,,,,,,,,,,15,
278.21462,clCreateBuffer|General,END,,,,,,,,,,,15,
278.24028,clCreateBuffer|General,START,,,,,,,,,,,16,
278.51593,clCreateBuffer|General,END,,,,,,,,,,,16,
278.54178,clCreateBuffer|General,START,,,,,,,,,,,17,
278.76615,clCreateBuffer|General,END,,,,,,,,,,,17,
278.80728,clCreateBuffer|General,START,,,,,,,,,,,18,
279.10421,clCreateBuffer|General,END,,,,,,,,,,,18,
279.13011,clCreateBuffer|General,START,,,,,,,,,,,19,
279.36096,clCreateBuffer|General,END,,,,,,,,,,,19,
279.38641,clCreateBuffer|General,START,,,,,,,,,,,20,
279.58861,clCreateBuffer|General,END,,,,,,,,,,,20,
279.61394,clCreateBuffer|General,START,,,,,,,,,,,21,
279.77296,clCreateBuffer|General,END,,,,,,,,,,,21,
279.81294,clCreateBuffer|General,START,,,,,,,,,,,22,
280.06666,clCreateBuffer|General,END,,,,,,,,,,,22,
280.09222,clCreateBuffer|General,START,,,,,,,,,,,23,
280.24702,clCreateBuffer|General,END,,,,,,,,,,,23,
280.27224,clCreateBuffer|General,START,,,,,,,,,,,24,
280.50749,clCreateBuffer|General,END,,,,,,,,,,,24,
280.53337,clCreateBuffer|General,START,,,,,,,,,,,25,
280.70178,clCreateBuffer|General,END,,,,,,,,,,,25,
280.7274,clCreateBuffer|General,START,,,,,,,,,,,26,
281.05483,clCreateBuffer|General,END,,,,,,,,,,,26,
281.08075,clCreateBuffer|General,START,,,,,,,,,,,27,
281.24914,clCreateBuffer|General,END,,,,,,,,,,,27,
281.27463,clCreateBuffer|General,START,,,,,,,,,,,28,
281.46732,clCreateBuffer|General,END,,,,,,,,,,,28,
281.49294,clCreateBuffer|General,START,,,,,,,,,,,29,
281.66536,clCreateBuffer|General,END,,,,,,,,,,,29,
281.69039,clCreateBuffer|General,START,,,,,,,,,,,30,
281.96297,clCreateBuffer|General,END,,,,,,,,,,,30,
281.98876,clCreateBuffer|General,START,,,,,,,,,,,31,
282.17017,clCreateBuffer|General,END,,,,,,,,,,,31,
282.19547,clCreateBuffer|General,START,,,,,,,,,,,32,
282.4498,clCreateBuffer|General,END,,,,,,,,,,,32,
282.47591,clCreateBuffer|General,START,,,,,,,,,,,33,
282.66171,clCreateBuffer|General,END,,,,,,,,,,,33,
282.6875,clCreateBuffer|General,START,,,,,,,,,,,34,
283.1141,clCreateBuffer|General,END,,,,,,,,,,,34,
283.13989,clCreateBuffer|General,START,,,,,,,,,,,35,
283.32616,clCreateBuffer|General,END,,,,,,,,,,,35,
283.35159,clCreateBuffer|General,START,,,,,,,,,,,36,
283.60371,clCreateBuffer|General,END,,,,,,,,,,,36,
283.62956,clCreateBuffer|General,START,,,,,,,,,,,37,
283.85163,clCreateBuffer|General,END,,,,,,,,,,,37,
283.87757,clCreateBuffer|General,START,,,,,,,,,,,38,
284.15903,clCreateBuffer|General,END,,,,,,,,,,,38,
284.18443,clCreateBuffer|General,START,,,,,,,,,,,39,
284.38448,clCreateBuffer|General,END,,,,,,,,,,,39,
284.41017,clCreateBuffer|General,START,,,,,,,,,,,40,
284.63065,clCreateBuffer|General,END,,,,,,,,,,,40,
284.65598,clCreateBuffer|General,START,,,,,,,,,,,41,
284.92647,clCreateBuffer|General,END,,,,,,,,,,,41,
284.95226,clCreateBuffer|General,START,,,,,,,,,,,42,
285.31849,clCreateBuffer|General,END,,,,,,,,,,,42,
285.34481,clCreateBuffer|General,START,,,,,,,,,,,43,
285.55792,clCreateBuffer|General,END,,,,,,,,,,,43,
285.58339,clCreateBuffer|General,START,,,,,,,,,,,44,
285.81838,clCreateBuffer|General,END,,,,,,,,,,,44,
285.84368,clCreateBuffer|General,START,,,,,,,,,,,45,
286.06155,clCreateBuffer|General,END,,,,,,,,,,,45,
286.08684,clCreateBuffer|General,START,,,,,,,,,,,46,
286.35696,clCreateBuffer|General,END,,,,,,,,,,,46,
286.38193,clCreateBuffer|General,START,,,,,,,,,,,47,
286.60634,clCreateBuffer|General,END,,,,,,,,,,,47,
286.63177,clCreateBuffer|General,START,,,,,,,,,,,48,
286.92057,clCreateBuffer|General,END,,,,,,,,,,,48,
286.94653,clCreateBuffer|General,START,,,,,,,,,,,49,
287.18191,clCreateBuffer|General,END,,,,,,,,,,,49,
287.20714,clCreateBuffer|General,START,,,,,,,,,,,50,
287.9939,clCreateBuffer|General,END,,,,,,,,,,,50,
288.01992,clCreateBuffer|General,START,,,,,,,,,,,51,
288.16013,clCreateBuffer|General,END,,,,,,,,,,,51,
288.18555,clCreateBuffer|General,START,,,,,,,,,,,52,
288.34942,clCreateBuffer|General,END,,,,,,,,,,,52,
288.37505,clCreateBuffer|General,START,,,,,,,,,,,53,
288.5273,clCreateBuffer|General,END,,,,,,,,,,,53,
288.55218,clCreateBuffer|General,START,,,,,,,,,,,54,
288.79262,clCreateBuffer|General,END,,,,,,,,,,,54,
288.81855,clCreateBuffer|General,START,,,,,,,,,,,55,
288.98038,clCreateBuffer|General,END,,,,,,,,,,,55,
289.00599,clCreateBuffer|General,START,,,,,,,,,,,56,
289.18126,clCreateBuffer|General,END,,,,,,,,,,,56,
289.2064,clCreateBuffer|General,START,,,,,,,,,,,57,
289.37435,clCreateBuffer|General,END,,,,,,,,,,,57,
289.39942,clCreateBuffer|General,START,,,,,,,,,,,58,
289.71181,clCreateBuffer|General,END,,,,,,,,,,,58,
289.73758,clCreateBuffer|General,START,,,,,,,,,,,59,
289.96004,clCreateBuffer|General,END,,,,,,,,,,,59,
289.98587,clCreateBuffer|General,START,,,,,,,,,,,60,
290.21832,clCreateBuffer|General,END,,,,,,,,,,,60,
290.24434,clCreateBuffer|General,START,,,,,,,,,,,61,
290.41866,clCreateBuffer|General,END,,,,,,,,,,,61,
290.44393,clCreateBuffer|General,START,,,,,,,,,,,62,
290.67103,clCreateBuffer|General,END,,,,,,,,,,,62,
290.69619,clCreateBuffer|General,START,,,,,,,,,,,63,
290.87609,clCreateBuffer|General,END,,,,,,,,,,,63,
290.90134,clCreateBuffer|General,START,,,,,,,,,,,64,
291.11179,clCreateBuffer|General,END,,,,,,,,,,,64,
291.13738,clCreateBuffer|General,START,,,,,,,,,,,65,
291.36221,clCreateBuffer|General,END,,,,,,,,,,,65,
291.38801,clCreateBuffer|General,START,,,,,,,,,,,66,
291.87156,clCreateBuffer|General,END,,,,,,,,,,,66,
291.89729,clCreateBuffer|General,START,,,,,,,,,,,67,
292.14289,clCreateBuffer|General,END,,,,,,,,,,,67,
292.16886,clCreateBuffer|General,START,,,,,,,,,,,68,
292.3778,clCreateBuffer|General,END,,,,,,,,,,,68,
292.4033,clCreateBuffer|General,START,,,,,,,,,,,69,
292.60442,clCreateBuffer|General,END,,,,,,,,,,,69,
292.62986,clCreateBuffer|General,START,,,,,,,,,,,70,
292.91196,clCreateBuffer|General,END,,,,,,,,,,,70,
292.93775,clCreateBuffer|General,START,,,,,,,,,,,71,
293.13925,clCreateBuffer|General,END,,,,,,,,,,,71,
293.16444,clCreateBuffer|General,START,,,,,,,,,,,72,
293.42991,clCreateBuffer|General,END,,,,,,,,,,,72,
293.45564,clCreateBuffer|General,START,,,,,,,,,,,73,
293.66716,clCreateBuffer|General,END,,,,,,,,,,,73,
293.69256,clCreateBuffer|General,START,,,,,,,,,,,74,
294.05056,clCreateBuffer|General,END,,,,,,,,,,,74,
294.07614,clCreateBuffer|General,START,,,,,,,,,,,75,
294.28831,clCreateBuffer|General,END,,,,,,,,,,,75,
294.31365,clCreateBuffer|General,START,,,,,,,,,,,76,
294.60997,clCreateBuffer|General,END,,,,,,,,,,,76,
294.63616,clCreateBuffer|General,START,,,,,,,,,,,77,
295.15774,clCreateBuffer|General,END,,,,,,,,,,,77,
295.1845,clCreateBuffer|General,START,,,,,,,,,,,78,
295.50197,clCreateBuffer|General,END,,,,,,,,,,,78,
295.52764,clCreateBuffer|General,START,,,,,,,,,,,79,
295.75522,clCreateBuffer|General,END,,,,,,,,,,,79,
295.78089,clCreateBuffer|General,START,,,,,,,,,,,80,
296.08789,clCreateBuffer|General,END,,,,,,,,,,,80,
296.11422,clCreateBuffer|General,START,,,,,,,,,,,81,
296.40221,clCreateBuffer|General,END,,,,,,,,,,,81,
296.42824,clCreateBuffer|General,START,,,,,,,,,,,82,
297.16771,clCreateBuffer|General,END,,,,,,,,,,,82,
297.19331,clCreateBuffer|General,START,,,,,,,,,,,83,
297.3357,clCreateBuffer|General,END,,,,,,,,,,,83,
297.36111,clCreateBuffer|General,START,,,,,,,,,,,84,
297.57355,clCreateBuffer|General,END,,,,,,,,,,,84,
297.59927,clCreateBuffer|General,START,,,,,,,,,,,85,
297.78793,clCreateBuffer|General,END,,,,,,,,,,,85,
297.81384,clCreateBuffer|General,START,,,,,,,,,,,86,
298.04915,clCreateBuffer|General,END,,,,,,,,,,,86,
298.07472,clCreateBuffer|General,START,,,,,,,,,,,87,
298.23028,clCreateBuffer|General,END,,,,,,,,,,,87,
298.25593,clCreateBuffer|General,START,,,,,,,,,,,88,
298.44699,clCreateBuffer|General,END,,,,,,,,,,,88,
298.47269,clCreateBuffer|General,START,,,,,,,,,,,89,
298.64196,clCreateBuffer|General,END,,,,,,,,,,,89,
298.67565,clCreateBuffer|General,START,,,,,,,,,,,90,
299.03085,clCreateBuffer|General,END,,,,,,,,,,,90,
299.05655,clCreateBuffer|General,START,,,,,,,,,,,91,
299.2249,clCreateBuffer|General,END,,,,,,,,,,,91,
299.25049,clCreateBuffer|General,START,,,,,,,,,,,92,
299.44153,clCreateBuffer|General,END,,,,,,,,,,,92,
299.46724,clCreateBuffer|General,START,,,,,,,,,,,93,
299.64167,clCreateBuffer|General,END,,,,,,,,,,,93,
299.66711,clCreateBuffer|General,START,,,,,,,,,,,94,
299.90646,clCreateBuffer|General,END,,,,,,,,,,,94,
299.93217,clCreateBuffer|General,START,,,,,,,,,,,95,
300.11358,clCreateBuffer|General,END,,,,,,,,,,,95,
300.13901,clCreateBuffer|General,START,,,,,,,,,,,96,
300.38606,clCreateBuffer|General,END,,,,,,,,,,,96,
300.41181,clCreateBuffer|General,START,,,,,,,,,,,97,
300.60052,clCreateBuffer|General,END,,,,,,,,,,,97,
300.62602,clCreateBuffer|General,START,,,,,,,,,,,98,
301.11141,clCreateBuffer|General,END,,,,,,,,,,,98,
301.13722,clCreateBuffer|General,START,,,,,,,,,,,99,
301.32531,clCreateBuffer|General,END,,,,,,,,,,,99,
301.35071,clCreateBuffer|General,START,,,,,,,,,,,100,
301.56744,clCreateBuffer|General,END,,,,,,,,,,,100,
301.59294,clCreateBuffer|General,START,,,,,,,,,,,101,
301.86413,clCreateBuffer|General,END,,,,,,,,,,,101,
301.89067,clCreateBuffer|General,START,,,,,,,,,,,102,
302.17805,clCreateBuffer|General,END,,,,,,,,,,,102,
302.20387,clCreateBuffer|General,START,,,,,,,,,,,103,
302.40573,clCreateBuffer|General,END,,,,,,,,,,,103,
302.4312,clCreateBuffer|General,START,,,,,,,,,,,104,
302.65208,clCreateBuffer|General,END,,,,,,,,,,,104,
302.67718,clCreateBuffer|General,START,,,,,,,,,,,105,
302.89128,clCreateBuffer|General,END,,,,,,,,,,,105,
302.91691,clCreateBuffer|General,START,,,,,,,,,,,106,
303.27929,clCreateBuffer|General,END,,,,,,,,,,,106,
303.30484,clCreateBuffer|General,START,,,,,,,,,,,107,
303.5744,clCreateBuffer|General,END,,,,,,,,,,,107,
303.60057,clCreateBuffer|General,START,,,,,,,,,,,108,
303.92856,clCreateBuffer|General,END,,,,,,,,,,,108,
303.9543,clCreateBuffer|General,START,,,,,,,,,,,109,
304.17958,clCreateBuffer|General,END,,,,,,,,,,,109,
304.20541,clCreateBuffer|General,START,,,,,,,,,,,110,
304.49653,clCreateBuffer|General,END,,,,,,,,,,,110,
304.52214,clCreateBuffer|General,START,,,,,,,,,,,111,
304.74974,clCreateBuffer|General,END,,,,,,,,,,,111,
304.77555,clCreateBuffer|General,START,,,,,,,,,,,112,
305.02193,clCreateBuffer|General,END,,,,,,,,,,,112,
305.04775,clCreateBuffer|General,START,,,,,,,,,,,113,
305.28218,clCreateBuffer|General,END,,,,,,,,,,,113,
305.30806,clCreateBuffer|General,START,,,,,,,,,,,114,
306.08864,clCreateBuffer|General,END,,,,,,,,,,,114,
306.11424,clCreateBuffer|General,START,,,,,,,,,,,115,
306.25587,clCreateBuffer|General,END,,,,,,,,,,,115,
306.28137,clCreateBuffer|General,START,,,,,,,,,,,116,
306.50595,clCreateBuffer|General,END,,,,,,,,,,,116,
306.53213,clCreateBuffer|General,START,,,,,,,,,,,117,
306.71995,clCreateBuffer|General,END,,,,,,,,,,,117,
306.74576,clCreateBuffer|General,START,,,,,,,,,,,118,
306.9849,clCreateBuffer|General,END,,,,,,,,,,,118,
307.01104,clCreateBuffer|General,START,,,,,,,,,,,119,
307.1669,clCreateBuffer|General,END,,,,,,,,,,,119,
307.19258,clCreateBuffer|General,START,,,,,,,,,,,120,
307.41285,clCreateBuffer|General,END,,,,,,,,,,,120,
307.43858,clCreateBuffer|General,START,,,,,,,,,,,121,
307.60698,clCreateBuffer|General,END,,,,,,,,,,,121,
307.63227,clCreateBuffer|General,START,,,,,,,,,,,122,
307.9957,clCreateBuffer|General,END,,,,,,,,,,,122,
308.02173,clCreateBuffer|General,START,,,,,,,,,,,123,
308.19013,clCreateBuffer|General,END,,,,,,,,,,,123,
308.21563,clCreateBuffer|General,START,,,,,,,,,,,124,
308.40761,clCreateBuffer|General,END,,,,,,,,,,,124,
308.43348,clCreateBuffer|General,START,,,,,,,,,,,125,
308.66289,clCreateBuffer|General,END,,,,,,,,,,,125,
308.68903,clCreateBuffer|General,START,,,,,,,,,,,126,
308.96221,clCreateBuffer|General,END,,,,,,,,,,,126,
308.98797,clCreateBuffer|General,START,,,,,,,,,,,127,
309.17122,clCreateBuffer|General,END,,,,,,,,,,,127,
309.19674,clCreateBuffer|General,START,,,,,,,,,,,128,
309.40871,clCreateBuffer|General,END,,,,,,,,,,,128,
