Timeline Trace
Generated on: 2021-04-28 11:45:20
Msec since Epoch: 1619610320670
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
19.92749,clGetPlatformIDs|General,START,,,,,,,,,,,0,
20.0474,clGetPlatformIDs|General,END,,,,,,,,,,,0,
20.07851,clGetPlatformIDs|General,START,,,,,,,,,,,1,
20.10365,clGetPlatformIDs|General,END,,,,,,,,,,,1,
20.14084,clGetPlatformInfo|General,START,,,,,,,,,,,2,
20.16784,clGetPlatformInfo|General,END,,,,,,,,,,,2,
20.20158,clGetPlatformInfo|General,START,,,,,,,,,,,3,
20.22418,clGetPlatformInfo|General,END,,,,,,,,,,,3,
20.35315,clGetDeviceIDs|General,START,,,,,,,,,,,4,
20.38581,clGetDeviceIDs|General,END,,,,,,,,,,,4,
20.40751,clGetDeviceIDs|General,START,,,,,,,,,,,5,
20.42877,clGetDeviceIDs|General,END,,,,,,,,,,,5,
20.45639,clRetainDevice|General,START,,,,,,,,,,,6,
20.48098,clRetainDevice|General,END,,,,,,,,,,,6,
20.50188,clRetainDevice|General,START,,,,,,,,,,,7,
20.52272,clRetainDevice|General,END,,,,,,,,,,,7,
20.54747,clCreateContext|General,START,,,,,,,,,,,8,
32.86913,clCreateContext|General,END,,,,,,,,,,,8,
50.04225,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
132.10484,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
132.217,clCreateCommandQueue|General,START,,,,,,,,,,,10,
132.27194,clCreateCommandQueue|General,END,,,,,,,,,,,10,
132.29958,clCreateKernel|General,START,,,,,,,,,,,11,
136.11292,clCreateKernel|General,END,,,,,,,,,,,11,
136.15074,clCreateBuffer|General,START,,,,,,,,,,,12,
137.72551,clCreateBuffer|General,END,,,,,,,,,,,12,
137.75538,clCreateBuffer|General,START,,,,,,,,,,,13,
137.98326,clCreateBuffer|General,END,,,,,,,,,,,13,
138.00946,clCreateBuffer|General,START,,,,,,,,,,,14,
138.24748,clCreateBuffer|General,END,,,,,,,,,,,14,
138.27268,clCreateBuffer|General,START,,,,,,,,,,,15,
138.49633,clCreateBuffer|General,END,,,,,,,,,,,15,
138.52176,clCreateBuffer|General,START,,,,,,,,,,,16,
138.83672,clCreateBuffer|General,END,,,,,,,,,,,16,
138.86248,clCreateBuffer|General,START,,,,,,,,,,,17,
139.08471,clCreateBuffer|General,END,,,,,,,,,,,17,
139.12443,clCreateBuffer|General,START,,,,,,,,,,,18,
139.43323,clCreateBuffer|General,END,,,,,,,,,,,18,
139.45914,clCreateBuffer|General,START,,,,,,,,,,,19,
139.69363,clCreateBuffer|General,END,,,,,,,,,,,19,
139.71942,clCreateBuffer|General,START,,,,,,,,,,,20,
139.92284,clCreateBuffer|General,END,,,,,,,,,,,20,
139.94834,clCreateBuffer|General,START,,,,,,,,,,,21,
140.09422,clCreateBuffer|General,END,,,,,,,,,,,21,
140.11895,clCreateBuffer|General,START,,,,,,,,,,,22,
140.32496,clCreateBuffer|General,END,,,,,,,,,,,22,
140.34995,clCreateBuffer|General,START,,,,,,,,,,,23,
140.55836,clCreateBuffer|General,END,,,,,,,,,,,23,
140.58437,clCreateBuffer|General,START,,,,,,,,,,,24,
140.75887,clCreateBuffer|General,END,,,,,,,,,,,24,
140.7844,clCreateBuffer|General,START,,,,,,,,,,,25,
140.94513,clCreateBuffer|General,END,,,,,,,,,,,25,
140.97068,clCreateBuffer|General,START,,,,,,,,,,,26,
141.26558,clCreateBuffer|General,END,,,,,,,,,,,26,
141.29123,clCreateBuffer|General,START,,,,,,,,,,,27,
141.46944,clCreateBuffer|General,END,,,,,,,,,,,27,
141.49509,clCreateBuffer|General,START,,,,,,,,,,,28,
141.68358,clCreateBuffer|General,END,,,,,,,,,,,28,
141.70893,clCreateBuffer|General,START,,,,,,,,,,,29,
141.87928,clCreateBuffer|General,END,,,,,,,,,,,29,
141.90529,clCreateBuffer|General,START,,,,,,,,,,,30,
142.13159,clCreateBuffer|General,END,,,,,,,,,,,30,
142.15677,clCreateBuffer|General,START,,,,,,,,,,,31,
142.40209,clCreateBuffer|General,END,,,,,,,,,,,31,
142.42861,clCreateBuffer|General,START,,,,,,,,,,,32,
142.67245,clCreateBuffer|General,END,,,,,,,,,,,32,
142.6983,clCreateBuffer|General,START,,,,,,,,,,,33,
142.88416,clCreateBuffer|General,END,,,,,,,,,,,33,
142.90977,clCreateBuffer|General,START,,,,,,,,,,,34,
143.35045,clCreateBuffer|General,END,,,,,,,,,,,34,
143.37605,clCreateBuffer|General,START,,,,,,,,,,,35,
